time = 0 	 	 x = 100 	 	 y = 50 	 	 theta = 1.571
time = 48 	 	 x = 109.534 	 	 y = 68.711 	 	 theta = 1.1
time = 49 	 	 x = 109.988 	 	 y = 69.602 	 	 theta = 1.1
time = 50 	 	 x = 110.442 	 	 y = 70.493 	 	 theta = 1.1
time = 51 	 	 x = 110.896 	 	 y = 71.384 	 	 theta = 1.1
time = 52 	 	 x = 111.35 	 	 y = 72.275 	 	 theta = 1.1
time = 53 	 	 x = 111.804 	 	 y = 73.166 	 	 theta = 1.1
time = 54 	 	 x = 112.258 	 	 y = 74.057 	 	 theta = 1.1
time = 55 	 	 x = 112.712 	 	 y = 74.948 	 	 theta = 1.1
time = 56 	 	 x = 113.166 	 	 y = 75.839 	 	 theta = 1.1
time = 57 	 	 x = 113.62 	 	 y = 76.73 	 	 theta = 1.1
time = 58 	 	 x = 114.074 	 	 y = 77.621 	 	 theta = 1.1
time = 59 	 	 x = 114.528 	 	 y = 78.512 	 	 theta = 1.1
time = 60 	 	 x = 114.982 	 	 y = 79.403 	 	 theta = 1.1
time = 61 	 	 x = 115.436 	 	 y = 80.294 	 	 theta = 1.1
time = 62 	 	 x = 115.89 	 	 y = 81.185 	 	 theta = 1.1
time = 63 	 	 x = 116.344 	 	 y = 82.076 	 	 theta = 1.1
time = 64 	 	 x = 116.798 	 	 y = 82.967 	 	 theta = 1.1
time = 65 	 	 x = 117.252 	 	 y = 83.858 	 	 theta = 1.1
time = 66 	 	 x = 117.706 	 	 y = 84.749 	 	 theta = 1.1
time = 67 	 	 x = 118.16 	 	 y = 85.64 	 	 theta = 1.1
time = 68 	 	 x = 118.573 	 	 y = 86.446 	 	 theta = 1.1
time = 69 	 	 x = 118.601 	 	 y = 86.433 	 	 theta = 1.1
time = 70 	 	 x = 118.631 	 	 y = 86.42 	 	 theta = 1.1
time = 71 	 	 x = 118.662 	 	 y = 86.405 	 	 theta = 1.1
time = 72 	 	 x = 118.696 	 	 y = 86.389 	 	 theta = 1.1
time = 73 	 	 x = 118.733 	 	 y = 86.372 	 	 theta = 1.1
time = 74 	 	 x = 118.772 	 	 y = 86.354 	 	 theta = 1.1
time = 75 	 	 x = 118.814 	 	 y = 86.335 	 	 theta = 1.1
time = 76 	 	 x = 118.859 	 	 y = 86.315 	 	 theta = 1.1
time = 77 	 	 x = 118.907 	 	 y = 86.293 	 	 theta = 1.1
time = 78 	 	 x = 118.959 	 	 y = 86.27 	 	 theta = 1.1
time = 79 	 	 x = 119.015 	 	 y = 86.246 	 	 theta = 1.1
time = 80 	 	 x = 119.075 	 	 y = 86.22 	 	 theta = 1.1
time = 81 	 	 x = 119.139 	 	 y = 86.193 	 	 theta = 1.1
time = 82 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 1.1
time = 83 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 1.082
time = 84 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 1.065
time = 85 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 1.047
time = 86 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 1.03
time = 87 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 1.012
time = 88 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.995
time = 89 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.977
time = 90 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.96
time = 91 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.942
time = 92 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.925
time = 93 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.908
time = 94 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.89
time = 95 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.873
time = 96 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.855
time = 97 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.838
time = 98 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.82
time = 99 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.803
time = 100 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.785
time = 101 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.768
time = 102 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.75
time = 103 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.733
time = 104 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.716
time = 105 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.698
time = 106 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.681
time = 107 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.663
time = 108 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.646
time = 109 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.628
time = 110 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.611
time = 111 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.593
time = 112 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.576
time = 113 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.559
time = 114 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.541
time = 115 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.524
time = 116 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.506
time = 117 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.489
time = 118 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.471
time = 119 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.454
time = 120 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.436
time = 121 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.419
time = 122 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.401
time = 123 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.384
time = 124 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.367
time = 125 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.349
time = 126 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.332
time = 127 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.314
time = 128 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.297
time = 129 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.279
time = 130 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.262
time = 131 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.244
time = 132 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.227
time = 133 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.209
time = 134 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.192
time = 135 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.175
time = 136 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.157
time = 137 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.14
time = 138 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.122
time = 139 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.105
time = 140 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.087
time = 141 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.07
time = 142 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.052
time = 143 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.035
time = 144 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = 0.017
time = 145 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.0
time = 146 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.017
time = 147 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.035
time = 148 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.052
time = 149 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.07
time = 150 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.087
time = 151 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.105
time = 152 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.122
time = 153 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.14
time = 154 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.157
time = 155 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.175
time = 156 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.192
time = 157 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.209
time = 158 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.227
time = 159 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.244
time = 160 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.262
time = 161 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.279
time = 162 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.297
time = 163 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.314
time = 164 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.332
time = 165 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.349
time = 166 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.367
time = 167 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.384
time = 168 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.401
time = 169 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.419
time = 170 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.436
time = 171 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.454
time = 172 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.471
time = 173 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.489
time = 174 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.506
time = 175 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.524
time = 176 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.541
time = 177 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.559
time = 178 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.576
time = 179 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.593
time = 180 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.611
time = 181 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.628
time = 182 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.646
time = 183 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.663
time = 184 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.681
time = 185 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.698
time = 186 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.716
time = 187 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.733
time = 188 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.75
time = 189 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.768
time = 190 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.785
time = 191 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.803
time = 192 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.82
time = 193 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.838
time = 194 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.855
time = 195 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.873
time = 196 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.89
time = 197 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.908
time = 198 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.925
time = 199 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.942
time = 200 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.96
time = 201 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.977
time = 202 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -0.995
time = 203 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -1.012
time = 204 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -1.03
time = 205 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -1.047
time = 206 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -1.065
time = 207 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -1.082
time = 208 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -1.1
time = 209 	 	 x = 119.208 	 	 y = 86.164 	 	 theta = -1.117
time = 210 	 	 x = 119.646 	 	 y = 85.265 	 	 theta = -1.117
time = 211 	 	 x = 120.084 	 	 y = 84.366 	 	 theta = -1.117
time = 212 	 	 x = 120.523 	 	 y = 83.467 	 	 theta = -1.117
time = 213 	 	 x = 120.961 	 	 y = 82.568 	 	 theta = -1.117
time = 214 	 	 x = 121.399 	 	 y = 81.67 	 	 theta = -1.117
time = 215 	 	 x = 121.838 	 	 y = 80.771 	 	 theta = -1.117
time = 216 	 	 x = 122.276 	 	 y = 79.872 	 	 theta = -1.117
time = 217 	 	 x = 122.715 	 	 y = 78.973 	 	 theta = -1.117
time = 218 	 	 x = 123.153 	 	 y = 78.074 	 	 theta = -1.117
time = 219 	 	 x = 123.591 	 	 y = 77.176 	 	 theta = -1.117
time = 220 	 	 x = 124.03 	 	 y = 76.277 	 	 theta = -1.117
time = 221 	 	 x = 124.468 	 	 y = 75.378 	 	 theta = -1.117
time = 222 	 	 x = 124.906 	 	 y = 74.479 	 	 theta = -1.117
time = 223 	 	 x = 125.345 	 	 y = 73.58 	 	 theta = -1.117
time = 224 	 	 x = 125.783 	 	 y = 72.682 	 	 theta = -1.117
time = 225 	 	 x = 126.221 	 	 y = 71.783 	 	 theta = -1.117
time = 226 	 	 x = 126.66 	 	 y = 70.884 	 	 theta = -1.117
time = 227 	 	 x = 127.098 	 	 y = 69.985 	 	 theta = -1.117
time = 228 	 	 x = 127.537 	 	 y = 69.086 	 	 theta = -1.117
time = 229 	 	 x = 127.975 	 	 y = 68.188 	 	 theta = -1.117
time = 230 	 	 x = 128.413 	 	 y = 67.289 	 	 theta = -1.117
time = 231 	 	 x = 128.852 	 	 y = 66.39 	 	 theta = -1.117
time = 232 	 	 x = 129.29 	 	 y = 65.491 	 	 theta = -1.117
time = 233 	 	 x = 129.728 	 	 y = 64.592 	 	 theta = -1.117
time = 234 	 	 x = 130.167 	 	 y = 63.694 	 	 theta = -1.117
time = 235 	 	 x = 130.605 	 	 y = 62.795 	 	 theta = -1.117
time = 236 	 	 x = 131.044 	 	 y = 61.896 	 	 theta = -1.117
time = 237 	 	 x = 131.482 	 	 y = 60.997 	 	 theta = -1.117
time = 238 	 	 x = 131.92 	 	 y = 60.099 	 	 theta = -1.117
time = 239 	 	 x = 132.359 	 	 y = 59.2 	 	 theta = -1.117
time = 240 	 	 x = 132.797 	 	 y = 58.301 	 	 theta = -1.117
time = 241 	 	 x = 133.235 	 	 y = 57.402 	 	 theta = -1.117
time = 242 	 	 x = 133.674 	 	 y = 56.503 	 	 theta = -1.117
time = 243 	 	 x = 134.112 	 	 y = 55.605 	 	 theta = -1.117
time = 244 	 	 x = 134.551 	 	 y = 54.706 	 	 theta = -1.117
time = 245 	 	 x = 134.989 	 	 y = 53.807 	 	 theta = -1.117
time = 246 	 	 x = 135.29 	 	 y = 52.936 	 	 theta = -1.117
time = 247 	 	 x = 135.15 	 	 y = 52.119 	 	 theta = -1.117
time = 248 	 	 x = 135.054 	 	 y = 51.266 	 	 theta = -1.117
time = 249 	 	 x = 135.005 	 	 y = 50.379 	 	 theta = -1.117
time = 250 	 	 x = 135.01 	 	 y = 49.465 	 	 theta = -1.117
time = 251 	 	 x = 135.072 	 	 y = 48.529 	 	 theta = -1.117
time = 252 	 	 x = 135.197 	 	 y = 47.579 	 	 theta = -1.117
time = 253 	 	 x = 135.385 	 	 y = 46.623 	 	 theta = -1.117
time = 254 	 	 x = 135.639 	 	 y = 45.668 	 	 theta = -1.117
time = 255 	 	 x = 135.958 	 	 y = 44.725 	 	 theta = -1.117
time = 256 	 	 x = 136.341 	 	 y = 43.801 	 	 theta = -1.117
time = 257 	 	 x = 136.779 	 	 y = 42.902 	 	 theta = -1.117
time = 258 	 	 x = 137.218 	 	 y = 42.003 	 	 theta = -1.117
time = 259 	 	 x = 137.656 	 	 y = 41.104 	 	 theta = -1.117
time = 260 	 	 x = 138.095 	 	 y = 40.205 	 	 theta = -1.117
time = 261 	 	 x = 138.533 	 	 y = 39.307 	 	 theta = -1.117
time = 262 	 	 x = 138.971 	 	 y = 38.408 	 	 theta = -1.117
time = 263 	 	 x = 139.41 	 	 y = 37.509 	 	 theta = -1.117
time = 264 	 	 x = 139.848 	 	 y = 36.61 	 	 theta = -1.117
